,id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
489,593,True,51.531066,false,-0.11934,"Northdown Street, King's Cross",20,21,1,False,200058,,
490,688,True,51.46095151,false,-0.20066766,"Northfields, Wandsworth",9,28,19,False,200204,2013-11-08,
491,22,True,51.5222641,false,-0.114079481,"Northington Street , Holborn",11,19,7,False,3425,2010-07-06,
492,354,True,51.506767,false,-0.123702,"Northumberland Avenue, Strand",1,37,36,False,1097,,
493,122,True,51.52111369,false,-0.078869751,"Norton Folgate, Liverpool Street",10,23,13,False,1068,2010-07-15,
494,225,True,51.50935342,false,-0.196422,"Notting Hill Gate Station, Notting Hill",19,30,11,False,1182,2010-07-20,
495,188,True,51.5165179,false,-0.164393768,"Nutford Place, Marylebone",16,18,1,False,1112,2010-07-17,
496,216,True,51.49094565,false,-0.181190899,"Old Brompton Road, South Kensington",24,30,5,False,3479,2010-07-19,
497,485,True,51.531127,false,-0.048017,"Old Ford Road, Bethnal Green",22,24,2,False,22173,2012-01-22,
498,537,True,51.51793,false,-0.067937,"Old Montague Street, Whitechapel",11,18,7,False,200239,2012-02-27,
499,99,True,51.51457763,false,-0.158264483,"Old Quebec Street, Marylebone",0,16,14,False,1085,2010-07-14,
500,73,True,51.525615,false,-0.08853260000000773,"Old Street Station, St. Luke's",8,34,26,False,1064,2010-07-12,
501,324,True,51.49652013,false,-0.101384068,"Ontario Street, Elephant & Castle",13,15,2,False,1200,2010-07-23,
502,679,True,51.47453545,false,-0.170210533,"Orbel Street, Battersea",21,26,5,False,200114,2013-11-05,
503,747,True,51.48796408,false,-0.161765173,"Ormonde Gate, Chelsea",19,24,5,False,300089,2013-12-02,
504,165,True,51.517932,false,-0.183716959,"Orsett Terrace, Bayswater",10,15,5,False,2585,2010-07-16,
505,685,True,51.46067005,false,-0.198735357,"Osiers Road, Wandsworth",12,30,17,False,200219,2013-11-07,
506,797,True,51.5293,false,-0.12827903,"Ossulston Street, Somers Town",28,30,2,False,300211,2016-03-01,
507,743,True,51.46079243,false,-0.212607684,"Oxford Road, Putney",6,29,23,False,300078,2013-11-29,
508,370,True,51.520205,false,-0.174593,"Paddington Green, Paddington",12,20,8,False,2670,2010-12-06,
509,56,True,51.52058381,false,-0.154701411,"Paddington Street, Marylebone",6,16,10,False,1033,2010-07-10,
